president,sentence
macri,PALABRAS DEL PRESIDENTE DE LA NACIÓN MAURICIO MACRI EN EL CONCIERTO POR LOS 500 AÑOS DE LA REFORMA PROTESTANTE DESDE EL TEATRO COLÓN CABA Otra vez en el escenario del teatro Colón y otra vez no me van a dejar cantar es tremendo.
macri,No me reconocen mi talento; el otro día estuve con Luis Fonsi ¿sabían?
macri,Me quiso conocer porque reconoce mi talento de cantante a cantante y de bailarín a bailarín y estuvimos dialogando.
macri,Pero bueno muchas gracias realmente muchas gracias por invitarme a este día tan importante a este encuentro maravilloso que recuerda los 500 años de la reforma protestante y cómo dijo Papa Francisco Martín Lutero hizo realmente un aporte muy importante para llevarle la palabra de Dios a millones de habitantes de este planeta.
macri,Y ustedes lo están haciendo acá en nuestro querido país ya hace más de 200 años batallando por los valores en los que creemos que son la ética la cultura del trabajo la solidaridad cosas que tienen que ver con lo que estamos planteando en este momento de cambio en nuestro país y sobre todo lo hemos hablado mucho muchas veces en mis años como Jefe de Gobierno y ahora en este año y medio que llevo como Presidente del valor de la verdad; el valor de comunicarnos con la verdad; de construir desde la verdad porque así se construye la confianza que es lo que empieza a mover este maravilloso país que tiene tantas deudas pendientes tanta gente esperando por una oportunidad pero estamos todos convencidos que trabajando juntos con solidaridad respetando al otro empezando justamente por decir la verdad es que vamos a transformar todos esos sueños en realidad.
macri,Así que los felicito les agradezco de corazón y espero que nos sigamos viendo todos los días porque la tarea es enorme apasionante y esto cada vez más convencido que vamos por el bueno camino y que cada día vamos a estar un poco mejor.
macri,Gracias de verdad a seguir trabajando.
macri,(APLAUSOS).
macri,DECLARACIONES DEL PRESIDENTE MAURICIO MACRI LUEGO DE SU VISITA AL CENTRO DE JUBILADOS “PARQUE UDEBA” EN LANÚS PROVINCIA DE BUENOS AIRES Me alegro en estos minutos que compartí que los vecinos digan que se están viendo cambios en la Ciudad y claro que se puede mejorar claro que todos merecemos vivir mejor y quién más que ustedes que han dado una vida de trabajo una vida de amor de educación a sus hijos ahora a sus nietos que son una segunda oportunidad de dar amor yo que soy “papá abuelo” con Antonia estoy pasando un momento maravilloso.
macri,Estoy acá para decirles que estoy feliz de esto que hemos impulsado la semana pasada esta Ley de Reparación Histórica que cumple con aquellos que realmente lo merecen como ustedes que no pueden esperar porque los años pasan y los reclamos no se les atienden.
macri,Y esto feliz de que realmente si Dios quiere el Congreso en este mes va a aprobar y empezaremos a pagarles lo que les corresponde desde septiembre eso va a ser un aumento muy grande para aquellos que están cobrando la mínima; y además aquellos que tenían juicio iniciado con o sin sentencia van a cobrar ese retroactivo la mitad al contado y la mitad en cuotas; y aquellos que se jubilen como me contaba el señor que se acaba de jubilar automáticamente empiecen desde el primer día cobrando lo que les corresponde.
macri,Además también en la Ley ponemos un artículo en el cual invitamos a toda la comunidad a discutir en serio a fondo en profundidad un sistema jubilatorio que sea equitativo justo sustentable en el tiempo para que esto no se vuelva a repetir tenemos que tener un sistema que no vuelva a repetir este problema que en un momento desfinancia a aquellos que han trabajado una vida entera 40 años 35 años y no es justo que después de tanto aporte se queden sin nada.
macri,(APLAUSOS)
macri,PALABRAS DEL PRESIDENTE MAURICIO MACRI EN EL ACTO DE INAUGURACIÓN DEL 52° COLOQUIO ANUAL DE IDEA REALIZADO EN LA CIUDAD DE MAR DEL PLATA Buenas tardes.
macri,Señor Jefe de Gobierno compañero Horacio; señor Gobernador de Santa Fe Miguel; señor Gobernador de Salta Urtubey- o marido del año- Señor ex presidente de Chile no sé si sabe pero Urtubey siguiendo los consejos del Presidente ha apostado al amor y usted como un hombre sabio también debe predicar lo mismo el amor es lo que nos mueve así que estamos todos contentos.
macri,Funcionarios; colaboradores y miembros de IDEA: yo tendría que preguntarle a Mabel cuándo fue la primera vez que vine a IDEA porque no me acuerdo fue hace muchos años atrás.
macri,De lo que estoy seguro y me acuerdo es de que nunca imaginé que iba a estar parado acá como Presidente de la República son cosas a las que te lleva la vida.
macri,Y la verdad que querría hablar más que de la primera vez de la última vez que vine que fue el año pasado a este mismo Salón.
macri,Fue raro porque había ganas de creer pero la incertidumbre pesaba la angustia el miedo de que las cosas no iban a cambiar.
macri,Y yo les dije muchas cosas que algunas las voy a compartir me traje un montón de papelitos.
macri,Yo creo que ese día salvo algunas pequeñas minorías la mayoría pensó que yo estaba medio loco que todas esas cosas que decíamos no iban a suceder.
macri,Yo creo que en relidad el único que me creyó fue Narciso porque él viene y va en el tiempo.
macri,Y la verdad que cuando me puse a leer hoy que es lo que quiero compartir algunas de las cosas que dije poquitas porque dijimos muchas dije: tenemos que generar previsibilidad; tenemos que generar reglas de juego claras; dar señales de hacia dónde vamos con un INDEC independiente un Banco Central independiente; decirles a aquellos agoreros de que cuidado con el cepo cuidado con la inflación cuidado con los dólares no nos tenemos que dejar asustar porque la misión de nuestro gobierno va a ser reedificar eso que es fundamental para los argentinos ese motor que mueve montañas que es la confianza confianza que el gobierno que termina destruyó poniendo al Estado al servicio de ser un aguantadero de la política.
macri,En otro párrafo dije: “El tercer desafío que también quiero profundizar y compartir con ustedes es el de unir a la Argentina porque son demasiados años de división de confrontación.
macri,Y como ingeniero entiendo que la energía se aplica a algo y aplicarlo a pelear y dividir nos resta potencia para poder construir todo eso que necesitamos y que los argentinos esperan.
macri,Por eso cuando hablo de pobreza cero primero tiene que ver con ocuparse de aquellos que más nos necesitan con ingreso universal ciudadano con cloacas agua potable para todos los argentinos urbanizando villas incluyendo invirtiendo en todo lo que cambia estructuralmente todo que genere oportunidades para reducir la pobreza para la creación de empleos de calidad conectando física y virtualmente al país”.
